Institution Name,Full Time Enrollment,State,Ranking List,Rank,Rank Pct Rank,Undergraduate Admit Rate,Undergraduate Admit Rate Pct Rank,Average Monthly Search Volume,Average Monthly Search Volume Pct Rank,Credential Score,Student Life Grade,Student Life Score,Experience Score,15-Year NPV,15-Year NPV PCT Rank,30-Year NPV,30-Year NPV PCT Rank,Instructional Wages per Full-Time Student,Instructional Wages per Full-Time Student PCT Rank,Eduation Score,Average Undergraduate Tuition and Fees,Average Undergraduate Tuition & Fees Score,"Value
(C x E x E)",Value-to-Cost Ratio,Endowment per Full Time Student,Endowment per Full Time Student Pct Rank,Percentage of International Students,Percentage of International Students PCT Rank,Vulnerability Score,Prof G Categorization
Adelphi University,6562,NY,USN National University Ranking,166,0.28,0.74,0.29,60500,0.7,1.27,B+,4.00,2.40,318000.00,0.69,888000.00,0.73,8995.00,0.49,1.92,38740.00,0.51,5.78592,0.484826546,28738.00,0.70,0.03,0.39,1.09,Survive
Agnes Scott College,998,GA,USN National College Ranking,58,0.74,0.70,0.38,14800,0.19,1.32,A,4.66,2.80,213000.00,0.10,596000.00,0.09,10013.00,0.60,0.79,41160.00,0.57,2.266594176,0.19987603,229886.00,0.16,0.04,0.50,0.66,Struggle
Albion College,1509,MI,USN National College Ranking,140,0.38,0.68,0.43,18100,0.26,1.07,C+,3.00,1.80,282000.00,0.52,744000.00,0.44,7170.00,0.24,1.19,45590.00,0.68,1.55178,0.095788889,115513.00,0.32,0.01,0.07,0.38,Struggle
Allegheny College,1724,PA,USN National College Ranking,82,0.64,0.64,0.52,22200,0.33,1.49,B,3.66,2.20,277000.00,0.47,773000.00,0.53,10638.00,0.67,1.66,47540.00,0.72,5.207142024,0.300869129,128095.00,0.29,0.04,0.50,0.79,Struggle
American University,11435,DC,USN National University Ranking,77,0.66,0.32,0.84,110000,0.87,2.37,B,3.66,2.20,296000.00,0.61,890000.00,0.73,8116.00,0.39,1.73,48459.00,0.74,9.212378112,0.50102671,59154.00,0.51,0.03,0.39,0.90,Thrive
Amherst College,1855,MA,USN National College Ranking,2,1.00,0.13,0.95,60500,0.7,2.64,A+,5.00,3.00,382000.00,0.87,1015000.00,0.88,18413.00,0.91,2.66,56426.00,0.99,20.2332,0.758479532,1281691.00,0.02,0.07,0.67,0.69,Thrive
Arizona State University-Tempe,46180,AZ,USN National University Ranking,117,0.50,0.85,0.09,165000,0.94,1.52,A+,5.00,3.00,322000.00,0.71,786000.00,0.56,10598.00,0.66,1.92,19579.00,0.19,8.70048,1.714042553,15603.00,0.84,0.06,0.64,1.48,Survive
Auburn University,25806,AL,USN National University Ranking,104,0.55,0.75,0.28,135000,0.9,1.72,A+,5.00,3.00,273000.00,0.45,748000.00,0.46,6521.00,0.14,1.04,20900.00,0.22,4.6035,1.144295302,29892.00,0.69,0.01,0.07,0.76,Thrive
Augustana College,2534,IL,USN National College Ranking,92,0.59,0.64,0.51,27100,0.41,1.51,A-,4.33,2.60,285000.00,0.53,791000.00,0.57,6303.00,0.10,1.2,42135.00,0.59,4.79610285,0.295563126,66351.00,0.47,0.11,0.81,1.28,Perish
Austin College,1295,TX,USN National College Ranking,117,0.50,0.55,0.66,18100,0.26,1.42,C+,3.00,1.80,278000.00,0.48,748000.00,0.46,6869.00,0.19,1.13,39960.00,0.54,3.052728,0.28916624,109463.00,0.33,0.01,0.07,0.39,Struggle
